Year,Make,Model,Mileage,Price,Body,Color,Engine,Country,Make_Model
2015,Ford,Mustang,38258,19495,Coupe,Gray,4 Cyl,USA,Ford Mustang
2015,Ford,F-150,13713,25888,Pickup,Blue,6 Cyl,USA,Ford F-150
2015,Ford,Explorer,42650,22980,SUV,White,6 Cyl,USA,Ford Explorer
2016,Ford,Explorer,41195,30771,SUV,Black,6 Cyl,USA,Ford Explorer
2017,Ford,Focus,9385,17988,Hatchback,Red,4 Cyl,USA,Ford Focus
2016,Ford,Mustang,43698,18995,Coupe,Blue,4 Cyl,USA,Ford Mustang
2016,Ford,Escape,29314,16998,SUV,Silver,4 Cyl,USA,Ford Escape
2016,Ford,Focus,44110,12195,Sedan,Silver,4 Cyl,USA,Ford Focus
2014,Ford,Edge,27134,19988,SUV,White,6 Cyl,USA,Ford Edge
2017,Ford,F-150,20789,26662,Pickup,White,6 Cyl,USA,Ford F-150
2013,Ford,Edge,49141,18995,SUV,White,6 Cyl,USA,Ford Edge
2013,Ford,F-150,41817,16998,Pickup,Green,6 Cyl,USA,Ford F-150
2015,Ford,Taurus,39835,23500,Sedan,Black,6 Cyl,USA,Ford Taurus
2015,Ford,Escape,18897,17335,SUV,Gray,4 Cyl,USA,Ford Escape
2017,Ford,F-150,10985,32981,Pickup,Black,6 Cyl,USA,Ford F-150
2011,Ford,Edge,85963,12275,SUV,Brown,6 Cyl,USA,Ford Edge
2015,Ford,F-150,31929,28499,Pickup,Black,8 Cyl,USA,Ford F-150
2016,Ford,F-250,24500,53749,Pickup,Black,8 Cyl,USA,Ford F-250
2012,Ford,Econoline,62460,17995,Van,Blue,8 Cyl,USA,Ford Econoline
2012,Ford,Fusion,82187,9495,Sedan,Gray,4 Cyl,USA,Ford Fusion
2012,Ford,F-250,66580,39995,Pickup,Red,8 Cyl,USA,Ford F-250
2013,Ford,F-150,67080,20995,Pickup,White,8 Cyl,USA,Ford F-150
2013,Ford,Edge,40764,14698,SUV,Silver,6 Cyl,USA,Ford Edge
2015,Ford,Escape,24142,15980,SUV,Silver,4 Cyl,USA,Ford Escape
2016,Ford,Mustang,8093,22500,Coupe,Yellow,4 Cyl,USA,Ford Mustang
2015,Ford,Mustang,18550,27998,Coupe,Black,8 Cyl,USA,Ford Mustang
2015,Ford,Fusion,49230,13870,Sedan,Silver,4 Cyl,USA,Ford Fusion
2012,Ford,Mustang,42013,14900,Coupe,White,6 Cyl,USA,Ford Mustang
2015,Ford,Fusion,30623,15445,Sedan,Blue,4 Cyl,USA,Ford Fusion
2016,Ford,Fusion,24130,15498,Sedan,Red,4 Cyl,USA,Ford Fusion
2013,Ford,Escape,46569,14969,SUV,Red,4 Cyl,USA,Ford Escape
2015,Ford,Fusion,38195,14969,Sedan,White,4 Cyl,USA,Ford Fusion
2013,Ford,Escape,64173,12290,SUV,Gray,4 Cyl,USA,Ford Escape
2016,Ford,Mustang,28900,19428,Coupe,White,4 Cyl,USA,Ford Mustang
2015,Ford,Escape,24268,15998,SUV,Orange,4 Cyl,USA,Ford Escape
2017,Ford,F-150,5378,33500,Pickup,Silver,6 Cyl,USA,Ford F-150
2015,Ford,Escape,49338,13480,SUV,Silver,4 Cyl,USA,Ford Escape
2015,Ford,Escape,32946,14998,SUV,Blue,4 Cyl,USA,Ford Escape
2014,Ford,Focus,18909,8874,Sedan,Silver,4 Cyl,USA,Ford Focus
2011,Ford,F-150,50510,12950,Pickup,White,6 Cyl,USA,Ford F-150
2016,Ford,Transit,17279,21490,Van,White,6 Cyl,USA,Ford Transit
2016,Ford,F-150,15873,35755,Pickup,Brown,6 Cyl,USA,Ford F-150
2015,Ford,Fiesta,59000,7999,Hatchback,White,4 Cyl,USA,Ford Fiesta
2015,Ford,Focus,17944,19000,Hatchback,Orange,4 Cyl,USA,Ford Focus
2015,Ford,F-150,27799,32777,Pickup,Silver,8 Cyl,USA,Ford F-150
2015,Ford,Transit,48184,14963,Minivan,Silver,4 Cyl,USA,Ford Transit
2016,Ford,F-150,16130,24950,Pickup,White,6 Cyl,USA,Ford F-150
2015,Ford,Escape,34891,14950,SUV,Silver,4 Cyl,USA,Ford Escape
2015,Ford,Fusion,39551,11995,Sedan,Gray,4 Cyl,USA,Ford Fusion
2014,Ford,Focus,13035,10950,Sedan,Red,4 Cyl,USA,Ford Focus
2016,Ford,Fusion,12485,15995,Sedan,White,4 Cyl,USA,Ford Fusion
2016,Ford,Explorer,35300,26387,SUV,White,6 Cyl,USA,Ford Explorer
2017,Ford,Escape,18156,18996,SUV,Black,4 Cyl,USA,Ford Escape
2016,Ford,Escape,34421,17580,SUV,White,4 Cyl,USA,Ford Escape
2016,Ford,Escape,21062,18595,SUV,Silver,4 Cyl,USA,Ford Escape
2016,Ford,Escape,29779,17499,SUV,Red,4 Cyl,USA,Ford Escape
2016,Ford,Escape,18547,18395,SUV,Red,4 Cyl,USA,Ford Escape
2015,Ford,Explorer,42650,22980,SUV,White,6 Cyl,USA,Ford Explorer
2016,Ford,F-150,25273,26906,Pickup,Blue,6 Cyl,USA,Ford F-150
2015,Ford,F-150,27079,38906,Pickup,Gray,8 Cyl,USA,Ford F-150
2017,Ford,Fusion,8181,16422,Sedan,Beige,4 Cyl,USA,Ford Fusion
2015,Ford,Explorer,27190,26906,SUV,Gray,6 Cyl,USA,Ford Explorer
2013,Ford,F-150,82593,22906,Pickup,Gray,6 Cyl,USA,Ford F-150
2015,Ford,Explorer,41946,29599,SUV,Silver,6 Cyl,USA,Ford Explorer
2014,Ford,Edge,41422,17128,SUV,White,6 Cyl,USA,Ford Edge
2015,Ford,Explorer,41569,18286,SUV,Black,6 Cyl,USA,Ford Explorer
2015,Ford,Flex,37069,16887,SUV,White,6 Cyl,USA,Ford Flex
2014,Ford,Flex,29796,20932,SUV,Silver,6 Cyl,USA,Ford Flex
2014,Ford,Focus,34545,9244,Sedan,Black,4 Cyl,USA,Ford Focus
2015,Ford,C-Max,25503,13419,Minivan,Blue,4 Cyl,USA,Ford C-Max
2015,Ford,Focus,34658,9498,Sedan,Black,4 Cyl,USA,Ford Focus
2015,Ford,Fusion,35213,16675,Sedan,Black,4 Cyl,USA,Ford Fusion
2014,Ford,Focus,26515,15994,Hatchback,White,4 Cyl,USA,Ford Focus
2015,Ford,F-150,37375,40994,Pickup,Gray,6 Cyl,USA,Ford F-150
2014,Ford,Flex,36703,20577,SUV,Silver,6 Cyl,USA,Ford Flex
2017,Ford,Fusion,31256,14733,Sedan,Silver,4 Cyl,USA,Ford Fusion
2016,Ford,Fusion,21980,14999,Sedan,Gray,4 Cyl,USA,Ford Fusion
2015,Ford,Fusion,28456,12877,Sedan,Black,4 Cyl,USA,Ford Fusion
2015,Ford,Edge,34918,27957,SUV,White,6 Cyl,USA,Ford Edge
2015,Ford,Fusion,26868,17366,Sedan,Black,4 Cyl,USA,Ford Fusion
2016,Ford,Escape,17304,17498,SUV,Silver,4 Cyl,USA,Ford Escape
2015,Ford,Explorer,42917,25998,SUV,White,6 Cyl,USA,Ford Explorer
2016,Ford,Fusion,15693,15888,Sedan,Red,4 Cyl,USA,Ford Fusion
2014,Ford,Focus,62904,8498,Sedan,Gray,4 Cyl,USA,Ford Focus
2015,Ford,Explorer,32104,25998,SUV,White,6 Cyl,USA,Ford Explorer
2016,Ford,Fusion,18369,17998,Sedan,White,4 Cyl,USA,Ford Fusion
2016,Ford,F-150,19978,32498,Pickup,Black,6 Cyl,USA,Ford F-150
2016,Ford,Fusion,13620,16498,Sedan,Silver,4 Cyl,USA,Ford Fusion
2017,Ford,Fusion,12332,17895,Sedan,Black,4 Cyl,USA,Ford Fusion
2016,Ford,F-150,22442,29998,Pickup,Blue,6 Cyl,USA,Ford F-150
2012,Ford,Focus,76576,8207,Hatchback,Silver,4 Cyl,USA,Ford Focus
2015,Ford,Fusion,27308,12998,Sedan,Red,4 Cyl,USA,Ford Fusion
2013,Ford,F-150,56739,27498,Pickup,Silver,8 Cyl,USA,Ford F-150
2015,Ford,Explorer,41162,24800,SUV,Gray,6 Cyl,USA,Ford Explorer
2015,Ford,Explorer,35204,21180,SUV,Silver,6 Cyl,USA,Ford Explorer
2014,Ford,Focus,18909,8874,Sedan,Silver,4 Cyl,USA,Ford Focus
2015,Ford,Explorer,42650,22980,SUV,White,6 Cyl,USA,Ford Explorer
2014,Ford,Focus,37585,9988,Sedan,Black,4 Cyl,USA,Ford Focus
2012,Ford,Fiesta,51303,6500,Sedan,Silver,4 Cyl,USA,Ford Fiesta
2014,Ford,F-150,47037,18994,Pickup,White,8 Cyl,USA,Ford F-150
2014,Ford,Fusion,36192,13998,Sedan,Silver,4 Cyl,USA,Ford Fusion
2015,Ford,Fusion,41727,17291,Sedan,Black,4 Cyl,USA,Ford Fusion
2013,Ford,Focus,74701,8988,Hatchback,Black,4 Cyl,USA,Ford Focus
2015,Ford,Flex,24939,25667,SUV,White,6 Cyl,USA,Ford Flex
2015,Ford,Focus,28097,14499,Hatchback,Blue,4 Cyl,USA,Ford Focus
2014,Ford,Explorer,65622,21000,SUV,Black,6 Cyl,USA,Ford Explorer
2016,Ford,Escape,21980,18500,SUV,Red,4 Cyl,USA,Ford Escape
2011,Ford,Escape,72687,11508,SUV,Gold,6 Cyl,USA,Ford Escape
2016,Ford,Explorer,14933,26000,SUV,Black,6 Cyl,USA,Ford Explorer
2015,Ford,Escape,13742,17231,SUV,Blue,4 Cyl,USA,Ford Escape
2004,Ford,Focus,41136,3995,Hatchback,Gray,4 Cyl,USA,Ford Focus
2013,Ford,Taurus,18021,16000,Sedan,White,6 Cyl,USA,Ford Taurus
2014,Ford,Explorer,27148,18379,SUV,Black,6 Cyl,USA,Ford Explorer
2017,Ford,Focus,9385,17988,Hatchback,Red,4 Cyl,USA,Ford Focus
2016,Ford,Mustang,43698,18995,Coupe,Blue,4 Cyl,USA,Ford Mustang
2016,Ford,Escape,29314,16998,SUV,Silver,4 Cyl,USA,Ford Escape
2014,Ford,Fiesta,59644,6990,Hatchback,Silver,4 Cyl,USA,Ford Fiesta
2014,Ford,Edge,27134,19988,SUV,White,6 Cyl,USA,Ford Edge
2017,Ford,F-150,20789,26662,Pickup,White,6 Cyl,USA,Ford F-150
2015,Ford,Fiesta,12217,9499,Sedan,Silver,4 Cyl,USA,Ford Fiesta
2015,Ford,Fusion,20949,16499,Sedan,Gray,4 Cyl,USA,Ford Fusion
2015,Ford,Fusion,37035,16000,Sedan,Blue,4 Cyl,USA,Ford Fusion
2017,Ford,Mustang,8743,23000,Coupe,Black,4 Cyl,USA,Ford Mustang
2015,Ford,Edge,21966,25795,SUV,Blue,6 Cyl,USA,Ford Edge
2015,Ford,Explorer,42650,22980,SUV,White,6 Cyl,USA,Ford Explorer
2015,Ford,C-Max,40847,13249,Minivan,White,4 Cyl,USA,Ford C-Max
2016,Ford,Explorer,14240,27950,SUV,White,6 Cyl,USA,Ford Explorer
2017,Ford,Escape,20291,17999,SUV,White,4 Cyl,USA,Ford Escape
2016,Ford,Escape,21123,16395,SUV,Silver,4 Cyl,USA,Ford Escape
2016,Ford,Fusion,12500,19595,Sedan,Brown,4 Cyl,USA,Ford Fusion
2014,Ford,Fusion,10660,14975,Sedan,White,4 Cyl,USA,Ford Fusion
2014,Ford,Focus,69870,8311,Hatchback,Blue,4 Cyl,USA,Ford Focus
2016,Ford,Explorer,24278,38449,SUV,Black,6 Cyl,USA,Ford Explorer
2015,Ford,Mustang,51725,18484,Coupe,Gray,4 Cyl,USA,Ford Mustang
2017,Ford,Escape,10023,16632,SUV,Red,4 Cyl,USA,Ford Escape
2015,Ford,Fiesta,23660,14995,Hatchback,Black,4 Cyl,USA,Ford Fiesta
2015,Ford,Fiesta,59000,7999,Hatchback,White,4 Cyl,USA,Ford Fiesta
2016,Ford,Fusion,23676,13999,Sedan,Black,4 Cyl,USA,Ford Fusion
2015,Ford,Fusion,37035,16000,Sedan,Blue,4 Cyl,USA,Ford Fusion
2017,Ford,Mustang,8743,23000,Coupe,Black,4 Cyl,USA,Ford Mustang
2006,Ford,Escape,50752,6999,SUV,Blue,4 Cyl,USA,Ford Escape
2014,Ford,Edge,51554,19280,SUV,Black,6 Cyl,USA,Ford Edge
2015,Ford,F-150,39290,25995,Pickup,Black,6 Cyl,USA,Ford F-150
2015,Ford,F-150,31929,28499,Pickup,Black,8 Cyl,USA,Ford F-150
2016,Ford,Fusion,60562,12000,Sedan,Red,4 Cyl,USA,Ford Fusion
2004,Ford,Focus,41136,3995,Hatchback,Gray,4 Cyl,USA,Ford Focus
2014,Ford,C-Max,34900,13650,Minivan,Black,4 Cyl,USA,Ford C-Max
2015,Ford,Explorer,42650,22980,SUV,White,6 Cyl,USA,Ford Explorer
2017,Ford,Explorer,16720,27273,SUV,Silver,6 Cyl,USA,Ford Explorer
2015,Ford,Fiesta,29964,8995,Sedan,Silver,4 Cyl,USA,Ford Fiesta
2015,Ford,Fusion,71654,10995,Sedan,Black,4 Cyl,USA,Ford Fusion
2017,Ford,Mustang,10023,27900,Coupe,Gray,8 Cyl,USA,Ford Mustang
2015,Ford,Fusion,31295,13965,Sedan,Black,4 Cyl,USA,Ford Fusion
2014,Ford,Fusion,63412,12233,Sedan,Orange,4 Cyl,USA,Ford Fusion
2016,Ford,Focus,17568,13878,Hatchback,Silver,4 Cyl,USA,Ford Focus
2013,Ford,Taurus,43189,18500,Sedan,Red,6 Cyl,USA,Ford Taurus
2016,Ford,F-150,29314,25994,Pickup,White,6 Cyl,USA,Ford F-150
2016,Ford,Explorer,12792,39866,SUV,Black,6 Cyl,USA,Ford Explorer
2014,Ford,F-150,41515,26795,Pickup,Blue,6 Cyl,USA,Ford F-150
2010,Ford,Escape,71455,10999,SUV,White,6 Cyl,USA,Ford Escape
2016,Ford,Explorer,65371,30000,SUV,Black,6 Cyl,USA,Ford Explorer
2014,Ford,Focus,15253,11499,Hatchback,Silver,4 Cyl,USA,Ford Focus
2015,Ford,F-150,36025,26983,Pickup,Blue,8 Cyl,USA,Ford F-150
2013,Ford,F-150,31866,31964,Pickup,White,8 Cyl,USA,Ford F-150
2015,Ford,F-150,69632,30982,Pickup,Blue,8 Cyl,USA,Ford F-150
2006,Ford,Escape,50752,6999,SUV,Blue,4 Cyl,USA,Ford Escape
2014,Ford,Edge,51554,19280,SUV,Black,6 Cyl,USA,Ford Edge
2016,Ford,Focus,47123,13500,Hatchback,Silver,4 Cyl,USA,Ford Focus
2017,Ford,Fusion,5105,24999,Sedan,Burgundy,4 Cyl,USA,Ford Fusion
2015,Ford,Mustang,7945,29597,Coupe,Red,8 Cyl,USA,Ford Mustang
2015,Ford,Edge,20984,29797,SUV,Red,6 Cyl,USA,Ford Edge
2015,Ford,Explorer,34623,23995,SUV,Silver,6 Cyl,USA,Ford Explorer
2017,Ford,Focus,9385,17988,Hatchback,Red,4 Cyl,USA,Ford Focus
2016,Ford,Escape,29314,16998,SUV,Silver,4 Cyl,USA,Ford Escape
2014,Ford,Fiesta,59644,6990,Hatchback,Silver,4 Cyl,USA,Ford Fiesta
2014,Ford,Edge,27134,19988,SUV,White,6 Cyl,USA,Ford Edge
2016,Ford,Fusion,87956,11655,Sedan,White,4 Cyl,USA,Ford Fusion
2013,Ford,Explorer,75833,18447,SUV,Silver,6 Cyl,USA,Ford Explorer
2015,Ford,Focus,11554,14278,Hatchback,Blue,4 Cyl,USA,Ford Focus
2017,Ford,Edge,48883,22895,SUV,White,4 Cyl,USA,Ford Edge
2017,Ford,Fusion,42380,13995,Sedan,Silver,4 Cyl,USA,Ford Fusion
2017,Ford,Escape,14452,17995,SUV,Gray,4 Cyl,USA,Ford Escape
2015,Ford,Mustang,24077,17460,Coupe,Orange,4 Cyl,USA,Ford Mustang
2014,Ford,F-150,77852,19990,Pickup,Blue,8 Cyl,USA,Ford F-150
2013,Ford,Edge,33903,14963,SUV,White,6 Cyl,USA,Ford Edge
2015,Ford,F-150,27254,29963,Pickup,Silver,6 Cyl,USA,Ford F-150
2016,Ford,Focus,7823,18901,Hatchback,Gray,4 Cyl,USA,Ford Focus
2015,Ford,Escape,18578,16490,SUV,Orange,4 Cyl,USA,Ford Escape
2015,Ford,Fiesta,12217,9499,Sedan,Silver,4 Cyl,USA,Ford Fiesta
2015,Ford,Fusion,20949,16499,Sedan,Gray,4 Cyl,USA,Ford Fusion
2014,Ford,Mustang,49076,13777,Coupe,Gray,6 Cyl,USA,Ford Mustang
2015,Ford,Explorer,34623,23995,SUV,Silver,6 Cyl,USA,Ford Explorer
2015,Ford,Explorer,35045,24700,SUV,Gray,6 Cyl,USA,Ford Explorer
2011,Ford,Fiesta,75559,6499,Sedan,Yellow,4 Cyl,USA,Ford Fiesta
2015,Ford,Fusion,25531,14284,Sedan,Silver,4 Cyl,USA,Ford Fusion
2016,Ford,Mustang,23351,21983,Coupe,Silver,4 Cyl,USA,Ford Mustang
2015,Ford,Explorer,30966,24981,SUV,Black,6 Cyl,USA,Ford Explorer
2016,Ford,Escape,35304,15981,SUV,White,4 Cyl,USA,Ford Escape
2014,Ford,Escape,32106,16999,SUV,Silver,4 Cyl,USA,Ford Escape
2014,Ford,Edge,42634,18963,SUV,Black,6 Cyl,USA,Ford Edge
2015,Ford,F-150,39113,23136,Pickup,Black,6 Cyl,USA,Ford F-150
2015,Ford,F-150,43113,25995,Pickup,Silver,6 Cyl,USA,Ford F-150
2014,Ford,Explorer,65287,19221,SUV,White,6 Cyl,USA,Ford Explorer
2015,Ford,Fusion,28156,18830,Sedan,Gray,4 Cyl,USA,Ford Fusion
2015,Ford,Fiesta,40642,8998,Hatchback,Gray,4 Cyl,USA,Ford Fiesta
2017,Ford,Mustang,18119,20995,Coupe,Black,6 Cyl,USA,Ford Mustang
2014,Ford,Escape,63093,12995,SUV,Silver,4 Cyl,USA,Ford Escape
2015,Ford,Edge,32955,22000,SUV,White,4 Cyl,USA,Ford Edge
2017,Ford,Taurus,9826,16894,Sedan,White,6 Cyl,USA,Ford Taurus
2013,Ford,F-150,81317,17984,Pickup,Brown,6 Cyl,USA,Ford F-150
2017,Ford,F-250,11692,35994,Pickup,White,8 Cyl,USA,Ford F-250
2012,Ford,Fiesta,51303,6500,Sedan,Silver,4 Cyl,USA,Ford Fiesta
2015,Ford,F-150,46005,31995,Pickup,Gray,8 Cyl,USA,Ford F-150
2016,Ford,Escape,28503,18449,SUV,Black,4 Cyl,USA,Ford Escape
2017,Ford,F-150,10985,32981,Pickup,Black,6 Cyl,USA,Ford F-150
2017,Ford,Escape,8500,21332,SUV,Blue,4 Cyl,USA,Ford Escape
2015,Ford,Mustang,14080,19987,Coupe,Black,4 Cyl,USA,Ford Mustang
2015,Ford,Mustang,21581,27558,Coupe,Blue,8 Cyl,USA,Ford Mustang
2015,Ford,Escape,40595,14162,SUV,Black,4 Cyl,USA,Ford Escape
2017,Ford,Mustang,13071,28500,Coupe,Red,8 Cyl,USA,Ford Mustang
2017,Ford,Escape,12730,16999,SUV,Gray,4 Cyl,USA,Ford Escape
2016,Ford,F-150,29049,26995,Pickup,Silver,6 Cyl,USA,Ford F-150
2017,Ford,Explorer,5764,30991,SUV,Silver,4 Cyl,USA,Ford Explorer
2015,Ford,Explorer,42650,22980,SUV,White,6 Cyl,USA,Ford Explorer
2015,Ford,Escape,37484,19350,SUV,Black,4 Cyl,USA,Ford Escape
2015,Ford,Escape,45045,13800,SUV,Black,4 Cyl,USA,Ford Escape
2015,Ford,Fusion,30117,13700,Sedan,Red,4 Cyl,USA,Ford Fusion
2011,Ford,Escape,56567,10300,SUV,Silver,4 Cyl,USA,Ford Escape
2014,Ford,Flex,37096,25500,SUV,Red,6 Cyl,USA,Ford Flex
2014,Ford,Edge,53519,17488,SUV,Black,6 Cyl,USA,Ford Edge
2015,Ford,F-150,27799,32777,Pickup,Silver,8 Cyl,USA,Ford F-150
2014,Ford,Fusion,65211,12996,Sedan,Gray,4 Cyl,USA,Ford Fusion
2015,Ford,Expedition,66217,31982,SUV,White,6 Cyl,USA,Ford Expedition
2014,Ford,F-150,40502,22777,Pickup,Red,8 Cyl,USA,Ford F-150
2016,Ford,Flex,11046,25989,SUV,White,6 Cyl,USA,Ford Flex
2015,Ford,Fusion,30673,14650,Sedan,Gray,4 Cyl,USA,Ford Fusion
2016,Ford,Focus,31127,11639,Sedan,Silver,4 Cyl,USA,Ford Focus
2015,Ford,F-150,23862,28850,Pickup,Black,6 Cyl,USA,Ford F-150
2015,Ford,Explorer,42650,22980,SUV,White,6 Cyl,USA,Ford Explorer
2015,Ford,F-150,23386,27997,Pickup,Gray,8 Cyl,USA,Ford F-150
2014,Ford,F-150,25894,23497,Pickup,White,8 Cyl,USA,Ford F-150
2014,Ford,Focus,87174,8500,Hatchback,Gray,4 Cyl,USA,Ford Focus
2015,Ford,Explorer,35032,32689,SUV,White,6 Cyl,USA,Ford Explorer
2017,Ford,Mustang,15565,18489,Coupe,Blue,6 Cyl,USA,Ford Mustang
2013,Ford,C-Max,34153,10988,Minivan,White,4 Cyl,USA,Ford C-Max
2015,Ford,Edge,26200,18995,SUV,Silver,6 Cyl,USA,Ford Edge
2013,Ford,Expedition,28676,24995,SUV,Silver,8 Cyl,USA,Ford Expedition
2014,Ford,Edge,42723,15995,SUV,White,6 Cyl,USA,Ford Edge
2017,Ford,Mustang,9223,22995,Coupe,Blue,4 Cyl,USA,Ford Mustang
2014,Ford,Focus,37967,10995,Hatchback,Silver,4 Cyl,USA,Ford Focus
